         1083308 function calls (1064498 primitive calls) in 1.968 seconds

   Ordered by: cumulative time
   List reduced from 366 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10554    0.008    0.000    0.057    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\rigid_body.py:64(point_world)
    17196    0.055    0.000    0.055    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      424    0.012    0.000    0.054    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\elements\elastic.py:141(evaluate)
    12563    0.049    0.000    0.054    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:169(transform_point)
       21    0.001    0.000    0.053    0.003 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\analysis\full_vehicle_dynamic.py:413(transform)
     1540    0.007    0.000    0.050    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:31(_basis_perpendicular)
    12270    0.024    0.000    0.048    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:14(skew)
     6768    0.033    0.000    0.047    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:69(_quaternion_to_matrix_unit)
      942    0.006    0.000    0.045    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:154(inverse)
        9    0.001    0.000    0.044    0.005 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\integrator.py:199(_project_velocity)
      698    0.004    0.000    0.042    0.000 C:\Users\zzy11\AppData\Roaming\uv\python\cpython-3.12-windows-x86_64-none\Lib\dataclasses.py:1540(replace)
    93697    0.038    0.000    0.038    0.000 {built-in method numpy.asarray}
      191    0.009    0.000    0.038    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:230(jacobian)
      100    0.001    0.000    0.035    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\contact.py:231(evaluate)
     1702    0.004    0.000    0.032    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\elements\elastic.py:389(evaluate)
     1863    0.014    0.000    0.032    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\model\mass.py:64(spatial_bias_wrench)
      468    0.006    0.000    0.031    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:162(residual)
        1    0.000    0.000    0.031    0.031 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\model\vehicle.py:69(build_vehicle)
     2438    0.021    0.000    0.031    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:224(wrench_global_to_local)
     3832    0.015    0.000    0.029    0.000 C:\杂件\open-kinematics\.venv\Lib\site-packages\numpy\_core\shape_base.py:220(vstack)
